Code;Nom;S3REnR;TXA;INFO_TX;INFO_ESS3R;INFO_NA;INFO_CR;INFO_TRF;INFO_QP;INFO_FAS3R;RTE_CDR;RTE_TVX;RTE_ESS3R;RTE_FAS3R;GRD1_FAS3R;GRD1_CDR;GRD1_ESS3R;GRD1_PTRE;GRD1_TRE;GRD1_TVX;GRD2_FAS3R;GRD2_FACRS3R;GRD2_CDR;GRD2_ESS3R;GRD2_PTRE;GRD2_TRE;GRD2_TVX;GRD2_CTR;GRDHTB_TVX;GRDHTB_ESS3R;GRDHTB_FAS3R;GRDHTB_CDR
Code;Nom;S3REnR;"Taux d'affectation des capacités réservées";"Taux de remplissage de la capacité réservée";"Puissance des projets en service du S3REnR en cours";"Capacité d'accueil réservée au titre du S3REnR qui reste à affecter";"Capacité réservée aux EnR au titre du S3REnR";"Attention: la valeur de la capacité réservée a été modifiée sur ce poste";"Quote-Part unitaire actualisée ";"Puissance des projets en file d’attente du S3REnR en cours";"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de transport ";"Travaux RTE indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible";"Puissance des installations raccordées dans le cadre du S3REnR en vigueur sur le RPT";"Puissance des projets entrés en FA sur le RPT dans le cadre du S3REnR en vigueur";"Puissance des projets entrés en FA sur le RPD du GRD1 dans le cadre du S3REnR en vigueur";"Capacité d’accueil réservée au titre du S3REnR, restante sans travaux sur le poste source";"Puissance des installations raccordées dans le cadre du S3REnR en vigueur sur le RPD du GRD1";"Puissance cumulée des transformateurs existants";"Nombre de transformateurs existants";"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible";"Puissance des projets entrés en FA sur le RPD du GRD2 dans le cadre du S3REnR en vigueur";"Dont la convention de raccordement est signée";"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source";"Puissance des installations raccordées dans le cadre du S3REnR en vigueur sur le RPD du GRD2";"Puissance cumulée des transformateurs existants";"Nombre de transformateurs existants";"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible";"Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution";"Travaux indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible";"Puissance des installations raccordées dans le cadre du S3REnR en vigueur sur le RPD du GRDHTB";"Puissance des projets entrés en FA sur le RPD du GRDHTB dans le cadre du S3REnR en vigueur";"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de distribution en HTB"
922AA;OUEST-COTES-D’ARMOR;BRETAGNE;0%;0;0;240;240;;82.22;0;0;"Création poste OUEST COTES DARMOR 225/20 kV";0;0;0;0;0;;;;;;;;;;;;;;;
929AA;EST-FINISTERE;BRETAGNE;0%;;0;0;0;;82.22;0;0;"Création poste EST FINISTERE 225/63 kV";0;0;;0;;;;;;;;;;;;;;;;
936AA;"INDRE SUD";"CENTRE-VAL DE LOIRE";0%;;0;0;;;70.49;56.8;0;;;;56.8;0;0;;;;;;;;;;;;;;;
956AA;NORD-EST-MORBIHAN;BRETAGNE;0%;0;0;307;307;;82.22;0;0;"Création poste NORD EST MORBIHAN 225/20kV";0;0;0;0;0;;;;;;;;;;;;;;;
956AB;NORD-OUEST-MORBIHAN;BRETAGNE;0%;0;0;80;80;;82.22;0;0;"Création poste NORD OUEST MORBIHAN 225/63/20kV";0;0;0;0;0;;;;;;;;;;;;;;;
962AB;"FRUGES 3";HAUTS-DE-FRANCE;0%;0;0;70;70;;77.62;0;0;;;;0;0;0;;;;;;;;;;;;;;;
982AA;"CAUSSES DU QUERCY";OCCITANIE;0%;;0;0;;;84.13;0;0;;;;0;0;0;;;;;;;;;;;;;;;
A.ADO;AIRE-SUR-ADOUR;NOUVELLE-AQUITAINE;0%;100;8.9;0;11.7;;92.73;4.8;0;;0;0;4.8;0;8.9;40;2;;;0;;;;0;;;;;;
A.BAI;AIX-LES-BAINS;AUVERGNE-RHôNE-ALPES;0%;85;5.3;1.5;9.9;"Trsf - 10MW le 28/11/23";41.55;3.1;1.5;"Sans Objet";0;0;3.1;1.5;5.3;72;2;;;0;;;;0;0;;0;;;
A.COM;AVESNES-LE-COMTE;HAUTS-DE-FRANCE;0%;8;1.2;41.8;45.3;NON;77.62;2.3;41.8;Oui;0;0;2.3;41.8;1.2;160;4;;;;;;;;;;;;;
A.DOU;ARNAC-SUR-DOURDOU;OCCITANIE;0%;86;0;14;100;;84.13;86;0;;0;0;86;14;0;160;4;;;0;;;;0;;;;;;
A.DUC;ARNAY-LE-DUC;BOURGOGNE-FRANCHE-COMTé;0%;53;3.7;8.7;18.6;-22.4;75;6.2;0;"Raccordement d’un transformateur 63/20 kV";0;0;6.2;8.7;3.7;36;1;;;;;;;;;;;;;
A.DUR;ASSE-DURANCE;"PROVENCE-ALPES-CôTE D’AZUR";0%;0;0;160;160;_;78.47;0;0;"Raccordement du poste source";0;0;0;0;0;;;;;;;;;;;;;;;
A.HUE;"ALPE-D HUEZ";AUVERGNE-RHôNE-ALPES;0%;49;0.1;2.2;4.3;"Trsf de +3 MW le 07/11/25";42.40;2;0;"Création d'un poste 400/63kV en Romanche et augmentation de la capacité de transit de la liaison 63kV EYBENS - PEAGE DE VIZILLE";0;0;2;2.2;0.1;40;2;;;;;;;;;;;;;
A.LIG;"ACHILLE LIGNON";AUVERGNE-RHôNE-ALPES;0%;8;0.3;3.3;3.6;--;42.40;0;3.3;"Sans Objet";0;0;0;3.3;0.3;72;2;;;;;;;;;;;;;
A.MER;ARGELES-SUR-MER;OCCITANIE;0%;83;15.1;3.5;21;;84.13;2.4;3.5;"Renforcement transformation de Baixas";0;0;2.4;3.5;15.1;72;2;;;;;;;;;;;;;
A.MOR;AIGUES-MORTES;OCCITANIE;0%;53;2.2;2.8;6;;84.13;1;2.8;;0;0;1;2.8;2.2;72;2;;;;;;;;;;;;;
A.MOU;"AIX MOURET";"PROVENCE-ALPES-CôTE D’AZUR";0%;2;1.1;70.6;72;_;78.47;0.3;70.6;;0;0;0.3;70.6;1.1;70;1;;;;;;;;;;;;;
A.OTH;AIX;"GRAND EST";0%;100;7.2;0;8.2;5.6;86.11;16.2;0;.;0;0;16.2;0;7.2;36;1;;;;;;;;;;;;;
A.PLE;ARGENTRE-DU-PLESSIS;BRETAGNE;0%;94;0.7;0.3;5;"16/12/25 +1 MW depuis GOURIN";82.22;4;0.3;;0;0;4;0.3;0.7;40;2;;;;;;;;;;;;;
A.THE;AX-LES-THERMES;OCCITANIE;0%;;0;0;0;;84.13;0;0;;0;0;;0;;;;;;;;;;;;;;;;
A.VOU;ANCHE-VOULON;NOUVELLE-AQUITAINE;0%;;0;0;;;92.73;0;0;;;;;0;;;;;;;;;;;;;;;;
ABBA5;ABBAYE;AUVERGNE-RHôNE-ALPES;0%;;0;0;0;--;42.40;0;0;"Sans Objet";0;0;;0;;;;;;;;;;;;;;;;
ABBAY;ABBAYE;AUVERGNE-RHôNE-ALPES;0%;0;0;3;3;--;42.40;0;3;"Sans Objet";0;0;;0;;;;;;;;;;;;;;;;
