Date;Region;Nb_postes;CR_total_MW;NA_total_MW;ESS3R_total_MW;RTE_CDR_MW;RTE_ESS3R_MW;GRD1_CDR_MW;GRD2_CDR_MW;Satures_100pct;Proches_saturation_80pct
2026-02-28;AUVERGNE-RHÔNE-ALPES;492;0;0;0;;;;;0;0
2026-02-28;BOURGOGNE-FRANCHE-COMTÉ;177;0;0;0;;;;;0;0
2026-02-28;BRETAGNE;166;0;0;0;;;;;0;0
2026-02-28;CENTRE-VAL DE LOIRE;155;0;0;0;;;;;0;0
2026-02-28;GRAND EST;302;0;0;0;;;;;0;0
2026-02-28;HAUTS-DE-FRANCE;218;0;0;0;;;;;0;0
2026-02-28;NORMANDIE;151;0;0;0;;;;;0;0
2026-02-28;NOUVELLE-AQUITAINE;410;0;0;0;;;;;0;0
2026-02-28;OCCITANIE;354;0;0;0;;;;;0;0
2026-02-28;PAYS DE LA LOIRE;176;0;0;0;;;;;0;0
2026-02-28;PROVENCE-ALPES-CÔTE D'AZUR;246;0;0;0;;;;;0;0
2026-02-28;ÎLE-DE-FRANCE;237;0;0;0;;;;;0;0
2026-03-30;AUVERGNE-RHÔNE-ALPES;524;7922.4;3096.9;1609.8;;;;;20;115
2026-03-30;BOURGOGNE-FRANCHE-COMTÉ;184;5492.7;1223.8;765.6;;;;;123;138
2026-03-30;BRETAGNE;173;5119.0;4032.7;102.0;;;;;5;20
2026-03-30;CENTRE-VAL DE LOIRE;163;5027.0;389.8;973.5;;;;;95;125
2026-03-30;GRAND EST;319;6203.3;882.4;1418.2;;;;;175;224
2026-03-30;HAUTS-DE-FRANCE;244;5787.0;3514.3;346.2;;;;;57;79
2026-03-30;NORMANDIE;157;1916.7;113.0;902.5;;;;;91;114
2026-03-30;NOUVELLE-AQUITAINE;434;17240.6;2831.0;3710.5;;;;;236;287
2026-03-30;OCCITANIE;375;8272.5;3284.5;1207.3;;;;;70;140
2026-03-30;PAYS DE LA LOIRE;177;5081.0;2924.6;567.3;;;;;29;40
2026-03-30;PROVENCE-ALPES-CÔTE D'AZUR;256;6856.0;5255.3;489.4;;;;;4;14
2026-03-30;ÎLE-DE-FRANCE;248;967.2;24.2;472.4;;;;;127;138
2026-03-31;AUVERGNE-RHÔNE-ALPES;494;7619.7;2982.3;1517.8;;;;;19;109
2026-03-31;BOURGOGNE-FRANCHE-COMTÉ;177;5400.3;1215.1;734.9;;;;;117;132
2026-03-31;BRETAGNE;166;4403.0;3325.0;100.4;;;;;5;20
2026-03-31;CENTRE-VAL DE LOIRE;158;4939.0;388.3;963.8;;;;;92;121
2026-03-31;GRAND EST;307;5994.8;814.4;1321.4;;;;;168;216
2026-03-31;HAUTS-DE-FRANCE;229;5499.9;3337.0;313.5;;;;;51;70
2026-03-31;NORMANDIE;151;1891.0;113.0;879.6;;;;;85;108
2026-03-31;NOUVELLE-AQUITAINE;415;16362.0;2742.0;3571.5;;;;;225;274
2026-03-31;OCCITANIE;363;8097.5;3239.2;1178.9;;;;;68;136
2026-03-31;PAYS DE LA LOIRE;176;5000.0;2877.6;558.1;;;;;28;39
2026-03-31;PROVENCE-ALPES-CÔTE D'AZUR;246;6400.0;4830.6;474.7;;;;;4;14
2026-03-31;ÎLE-DE-FRANCE;237;960.3;24.2;466.6;;;;;121;132
2026-04-01;AUVERGNE-RHÔNE-ALPES;493;7619.7;2982.3;1517.8;;;;;19;109
2026-04-01;BOURGOGNE-FRANCHE-COMTÉ;177;5400.3;1215.1;734.9;;;;;117;132
2026-04-01;BRETAGNE;164;4356.0;3296.7;98.3;;;;;5;19
2026-04-01;CENTRE-VAL DE LOIRE;158;4939.0;388.3;963.8;;;;;92;121
2026-04-01;GRAND EST;305;5986.8;814.4;1320.0;;;;;167;215
2026-04-01;HAUTS-DE-FRANCE;229;5499.9;3337.0;313.5;;;;;51;70
2026-04-01;NORMANDIE;151;1891.0;113.0;879.6;;;;;85;108
2026-04-01;NOUVELLE-AQUITAINE;414;16360.7;2742.0;3570.1;;;;;224;273
2026-04-01;OCCITANIE;361;8058.5;3239.2;1173.1;;;;;67;135
2026-04-01;PAYS DE LA LOIRE;173;4974.0;2864.5;553.2;;;;;27;38
2026-04-01;PROVENCE-ALPES-CÔTE D'AZUR;246;6400.0;4830.6;474.7;;;;;4;14
2026-04-01;ÎLE-DE-FRANCE;236;958.4;24.2;464.8;;;;;120;131
2026-04-02;AUVERGNE-RHÔNE-ALPES;494;7619.7;2982.3;1517.8;;;;;19;109
2026-04-02;BOURGOGNE-FRANCHE-COMTÉ;177;5400.3;1215.1;734.9;;;;;117;132
2026-04-02;BRETAGNE;166;4403.0;3325.0;100.4;;;;;5;20
2026-04-02;CENTRE-VAL DE LOIRE;158;4939.0;388.3;963.8;;;;;92;121
2026-04-02;GRAND EST;307;5994.8;814.4;1321.4;;;;;168;216
2026-04-02;HAUTS-DE-FRANCE;229;5499.9;3337.0;313.5;;;;;51;70
2026-04-02;NORMANDIE;151;1891.0;113.0;879.6;;;;;85;108
2026-04-02;NOUVELLE-AQUITAINE;415;16362.0;2742.0;3571.5;;;;;225;274
2026-04-02;OCCITANIE;363;8097.5;3239.2;1178.9;;;;;68;136
2026-04-02;PAYS DE LA LOIRE;176;5000.0;2877.6;558.1;;;;;28;39
2026-04-02;PROVENCE-ALPES-CÔTE D'AZUR;246;6400.0;4830.6;474.7;;;;;4;14
2026-04-02;ÎLE-DE-FRANCE;237;960.3;24.2;466.6;;;;;121;132
2026-04-05;AUVERGNE-RHÔNE-ALPES;494;7619.7;2982.3;1517.8;;;;;19;109
2026-04-05;BOURGOGNE-FRANCHE-COMTÉ;177;5400.3;1215.1;734.9;;;;;117;132
2026-04-05;BRETAGNE;166;4403.0;3325.0;100.4;;;;;5;20
2026-04-05;CENTRE-VAL DE LOIRE;158;4939.0;388.3;963.8;;;;;92;121
2026-04-05;GRAND EST;307;5994.8;814.4;1321.4;;;;;168;216
2026-04-05;HAUTS-DE-FRANCE;229;5499.9;3337.0;313.5;;;;;51;70
2026-04-05;NORMANDIE;151;1891.0;113.0;879.6;;;;;85;108
2026-04-05;NOUVELLE-AQUITAINE;415;16362.0;2742.0;3571.5;;;;;225;274
2026-04-05;OCCITANIE;363;8097.5;3239.2;1178.9;;;;;68;136
2026-04-05;PAYS DE LA LOIRE;176;5000.0;2877.6;558.1;;;;;28;39
2026-04-05;PROVENCE-ALPES-CÔTE D'AZUR;246;6400.0;4830.6;474.7;;;;;4;14
2026-04-05;ÎLE-DE-FRANCE;237;960.3;24.2;466.6;;;;;121;132
2026-04-12;AUVERGNE-RHÔNE-ALPES;494;7619.7;2982.3;1517.8;;;;;19;109
2026-04-12;BOURGOGNE-FRANCHE-COMTÉ;177;5400.3;1215.1;734.9;;;;;117;132
2026-04-12;BRETAGNE;166;4403.0;3325.0;100.4;;;;;5;20
2026-04-12;CENTRE-VAL DE LOIRE;158;4939.0;388.3;963.8;;;;;92;121
2026-04-12;GRAND EST;307;5994.8;814.4;1321.4;;;;;168;216
2026-04-12;HAUTS-DE-FRANCE;229;5499.9;3337.0;313.5;;;;;51;70
2026-04-12;NORMANDIE;151;1891.0;113.0;879.6;;;;;85;108
2026-04-12;NOUVELLE-AQUITAINE;415;16362.0;2742.0;3571.5;;;;;225;274
2026-04-12;OCCITANIE;363;8097.5;3239.2;1178.9;;;;;68;136
2026-04-12;PAYS DE LA LOIRE;176;5000.0;2877.6;558.1;;;;;28;39
2026-04-12;PROVENCE-ALPES-CÔTE D'AZUR;246;6400.0;4830.6;474.7;;;;;4;14
2026-04-12;ÎLE-DE-FRANCE;237;960.3;24.2;466.6;;;;;121;132
2026-04-18;AUVERGNE-RHÔNE-ALPES;494;7619.7;2982.3;1517.8;;;;;19;109
2026-04-18;BOURGOGNE-FRANCHE-COMTÉ;177;5400.3;1215.1;734.9;;;;;117;132
2026-04-18;BRETAGNE;166;4403.0;3325.0;100.4;;;;;5;20
2026-04-18;CENTRE-VAL DE LOIRE;158;4939.0;388.3;963.8;;;;;92;121
2026-04-18;GRAND EST;307;5994.8;814.4;1321.4;;;;;168;216
2026-04-18;HAUTS-DE-FRANCE;229;5499.9;3337.0;313.5;;;;;51;70
2026-04-18;NORMANDIE;151;1891.0;113.0;879.6;;;;;85;108
2026-04-18;NOUVELLE-AQUITAINE;415;16362.0;2742.0;3571.5;;;;;225;274
2026-04-18;OCCITANIE;363;8097.5;3239.2;1178.9;;;;;68;136
2026-04-18;PAYS DE LA LOIRE;176;5000.0;2877.6;558.1;;;;;28;39
2026-04-18;PROVENCE-ALPES-CÔTE D'AZUR;246;6400.0;4830.6;474.7;;;;;4;14
2026-04-18;ÎLE-DE-FRANCE;237;960.3;24.2;466.6;;;;;121;132
2026-04-19;AUVERGNE-RHÔNE-ALPES;494;7619.7;2982.3;1517.8;;;;;19;109
2026-04-19;BOURGOGNE-FRANCHE-COMTÉ;177;5400.3;1215.1;734.9;;;;;117;132
2026-04-19;BRETAGNE;166;4403.0;3325.0;100.4;;;;;5;20
2026-04-19;CENTRE-VAL DE LOIRE;158;4939.0;388.3;963.8;;;;;92;121
2026-04-19;GRAND EST;307;5994.8;814.4;1321.4;;;;;168;216
2026-04-19;HAUTS-DE-FRANCE;229;5499.9;3337.0;313.5;;;;;51;70
2026-04-19;NORMANDIE;151;1891.0;113.0;879.6;;;;;85;108
2026-04-19;NOUVELLE-AQUITAINE;415;16362.0;2742.0;3571.5;;;;;225;274
2026-04-19;OCCITANIE;363;8097.5;3239.2;1178.9;;;;;68;136
2026-04-19;PAYS DE LA LOIRE;176;5000.0;2877.6;558.1;;;;;28;39
2026-04-19;PROVENCE-ALPES-CÔTE D'AZUR;246;6400.0;4830.6;474.7;;;;;4;14
2026-04-19;ÎLE-DE-FRANCE;237;960.3;24.2;466.6;;;;;121;132
2026-04-24;AUVERGNE-RHÔNE-ALPES;494;7619.7;2982.3;1517.8;;;;;19;109
2026-04-24;BOURGOGNE-FRANCHE-COMTÉ;177;5400.3;1215.1;734.9;;;;;117;132
2026-04-24;BRETAGNE;166;4403.0;3325.0;100.4;;;;;5;20
2026-04-24;CENTRE-VAL DE LOIRE;158;4939.0;388.3;963.8;;;;;92;121
2026-04-24;GRAND EST;307;5994.8;814.4;1321.4;;;;;168;216
2026-04-24;HAUTS-DE-FRANCE;229;5499.9;3337.0;313.5;;;;;51;70
2026-04-24;NORMANDIE;151;1891.0;113.0;879.6;;;;;85;108
2026-04-24;NOUVELLE-AQUITAINE;415;16362.0;2742.0;3571.5;;;;;225;274
2026-04-24;OCCITANIE;363;8097.5;3239.2;1178.9;;;;;68;136
2026-04-24;PAYS DE LA LOIRE;176;5000.0;2877.6;558.1;;;;;28;39
2026-04-24;PROVENCE-ALPES-CÔTE D'AZUR;246;6400.0;4830.6;474.7;;;;;4;14
2026-04-24;ÎLE-DE-FRANCE;237;960.3;24.2;466.6;;;;;121;132
